mcs,bw,payload,data_bps,basic_bps,tau_t_slots,tau_f_slots
0,20,1500,8602942,6000000,176.4,169.733
0,40,1500,17205883,6000000,96.3111,89.6444
0,80,1500,36029412,6000000,55.9556,49.2889
1,20,1500,17205883,12000000,94.5333,89.2
1,40,1500,34411765,12000000,55.2444,49.9111
1,80,1500,72058824,12000000,34.5333,29.2
2,20,1500,25808824,18000000,68.4,63.5111
2,40,1500,51617648,18000000,41.2,36.3111
2,80,1500,108088236,18000000,27.6,22.7111
3,20,1500,34411765,24000000,54.8,49.9111
3,40,1500,68823530,24000000,35.1556,30.2667
3,80,1500,144117648,24000000,24.5778,19.6889
4,20,1500,51617648,36000000,40.7556,36.3111
4,40,1500,103235295,36000000,27.1556,22.7111
4,80,1500,216176471,36000000,21.1111,16.6667
5,20,1500,68823530,48000000,34.7111,30.2667
5,40,1500,137647059,48000000,24.1333,19.6889
5,80,1500,288235295,48000000,19.6,15.1556
6,20,1500,77426471,54000000,31.6889,27.2444
6,40,1500,154852942,54000000,22.6222,18.1778
6,80,1500,324264706,54000000,18.0889,13.6444
7,20,1500,86029412,54000000,30.1778,25.7333
7,40,1500,172058824,54000000,22.6222,18.1778
7,80,1500,360294118,54000000,18.0889,13.6444
8,20,1500,103235295,54000000,27.1556,22.7111
8,40,1500,206470589,54000000,21.1111,16.6667
8,80,1500,432352942,54000000,18.0889,13.6444
9,20,1500,114705883,54000000,25.6444,21.2
9,40,1500,229411765,54000000,19.6,15.1556
9,80,1500,480392157,54000000,16.5778,12.1333
10,20,1500,129044118,54000000,25.6444,21.2
10,40,1500,258088236,54000000,19.6,15.1556
10,80,1500,540441177,54000000,16.5778,12.1333
11,20,1500,143382353,54000000,24.1333,19.6889
11,40,1500,286764706,54000000,19.6,15.1556
11,80,1500,600490197,54000000,16.5778,12.1333